Sport,Year,Time,Funding,FundingAdjustedForInflation,FundingLag1,FundingLag2,FundingLag3,Gold,Silver,Bronze,MedalScore,Athletes,AvgAge,Female,Male,Events,PossibleScore,BoycottScore
Weightlifting,1992,-1,0,0,0,0,0,0,0,0,0,6,25.66666667,0,6,10,70,0
Weightlifting,1996,0,0,0,0,0,0,0,0,0,0,1,24,0,1,10,70,0
Weightlifting,2000,1,0,0,0,0,0,0,0,0,0,1,24,0,1,15,105,0
Weightlifting,2004,2,300000,427852.35,0,0,0,0,0,0,0,2,27,1,1,15,105,0
Weightlifting,2008,3,1686000,2110085.89,427852.35,0,0,0,0,0,0,1,29,1,0,15,105,0
Weightlifting,2012,4,1365157,1500819.29,2110085.89,427852.35,0,0,0,0,0,5,25,2,3,15,105,0
Weightlifting,2016,5,1709340,1709340,1500819.29,2110085.89,427852.35,0,0,0,0,2,19.5,1,1,15,105,0.025138832
Wrestling,1952,-11,0,0,0,0,0,0,0,1,1,6,27,0,6,16,112,0
Wrestling,1956,-10,0,0,0,0,0,0,0,0,0,4,27.5,0,4,16,112,0.039697543
Wrestling,1960,-9,0,0,0,0,0,0,0,0,0,6,25.33333333,0,6,16,112,0
Wrestling,1964,-8,0,0,0,0,0,0,0,0,0,6,30.5,0,6,16,112,0
Wrestling,1968,-7,0,0,0,0,0,0,0,0,0,4,23,0,4,16,112,0
Wrestling,1972,-6,0,0,0,0,0,0,0,0,0,6,24.5,0,6,20,140,0
Wrestling,1976,-5,0,0,0,0,0,0,0,0,0,7,26.85714286,0,7,20,140,0.022463768
Wrestling,1980,-4,0,0,0,0,0,0,0,0,0,6,24.33333333,0,6,20,140,0.290184922
Wrestling,1984,-3,0,0,0,0,0,0,0,1,1,7,25.57142857,0,7,20,140,0.763648929
Wrestling,1988,-2,0,0,0,0,0,0,0,0,0,6,25.16666667,0,6,20,140,0
Wrestling,1992,-1,0,0,0,0,0,0,0,0,0,1,26,0,1,20,140,0
Wrestling,1996,0,0,0,0,0,0,0,0,0,0,1,25,0,1,20,140,0
Wrestling,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,112,0
Wrestling,2004,2,0,0,0,0,0,0,0,0,0,1,26,0,1,18,126,0
Wrestling,2008,3,2125000,2659509.2,0,0,0,0,0,0,0,0,0,0,0,18,144,0
Wrestling,2012,4,1435210,1577833.8,2659509.2,0,0,0,0,0,0,1,26,1,0,18,144,0
Wrestling,2016,5,0,0,1577833.8,2659509.2,0,0,0,0,0,0,0,0,0,18,144,0.025138832
